"num.trees","mtry","min.node.size","replace","sample.fraction","train_rmse","valid_rmse"
500,3,5,FALSE,0.5,241.607043345238,246.930520995761
100,0,10,FALSE,0.5,264.800923206718,267.380292897577
80,0,10,FALSE,0.5,266.58641636836,270.039630117154
500,0,10,FALSE,0.5,262.737504703261,266.900015854808
100,1,10,FALSE,0.5,393.381926800324,397.969910144366
80,1,10,FALSE,0.5,392.227697870335,394.652088849514
500,1,10,FALSE,0.5,379.066989319668,384.282979770547
100,2,10,FALSE,0.5,266.81747795441,268.498321233351
80,2,10,FALSE,0.5,267.777377302902,271.205048790926
500,2,10,FALSE,0.5,264.281078585679,268.165399592538
100,2,10,FALSE,0.5,266.661991136161,270.435024389455
80,2,10,FALSE,0.5,266.472550633193,268.229514425904
500,2,10,FALSE,0.5,263.846525464624,268.75106394648
100,3,10,FALSE,0.5,245.112261363113,248.706948639786
80,3,10,FALSE,0.5,245.260918128366,249.001983826406
500,3,10,FALSE,0.5,242.932798655525,247.777645305957
100,0,1,TRUE,0.63,264.562529946808,270.951446891717
80,0,1,TRUE,0.63,262.347212197187,266.687783488017
500,0,1,TRUE,0.63,260.848512029157,265.052257767499
100,1,1,TRUE,0.63,370.038376833538,374.409547021005
80,1,1,TRUE,0.63,381.218291677203,386.836708699789
500,1,1,TRUE,0.63,374.261858740336,379.395069686742
100,2,1,TRUE,0.63,262.527143367154,266.906135104186
80,2,1,TRUE,0.63,266.399538876026,269.040197201879
500,2,1,TRUE,0.63,261.6715722597,266.23574985906
100,2,1,TRUE,0.63,263.779750163762,268.262066808952
80,2,1,TRUE,0.63,263.028299771333,267.388118085239
500,2,1,TRUE,0.63,261.58704061992,265.675488998471
100,3,1,TRUE,0.63,244.140905101858,249.665711937641
80,3,1,TRUE,0.63,244.190694210546,248.424511214551
500,3,1,TRUE,0.63,241.960052383831,247.050002729131
100,0,3,TRUE,0.63,262.611143643601,266.206804143637
80,0,3,TRUE,0.63,259.948943216848,263.838472338642
