"...1","num.trees","mtry","min.node.size","replace","sample.fraction","train_rmse","valid_rmse"
246,500,4,1,TRUE,0.8,251.278294843855,253.095735636546
247,100,8,1,TRUE,0.8,200.814993380524,201.966610260668
248,320,8,1,TRUE,0.8,200.564869715114,203.057629196069
249,500,8,1,TRUE,0.8,200.665109950264,204.280549666011
250,100,10,1,TRUE,0.8,197.036067067743,198.836327288361
251,320,10,1,TRUE,0.8,193.523952660727,198.191214244804
252,500,10,1,TRUE,0.8,193.457066703485,196.911800582424
253,100,12,1,TRUE,0.8,189.567374622206,193.233831197049
254,320,12,1,TRUE,0.8,187.817087384499,193.470617280273
255,500,12,1,TRUE,0.8,187.845030614706,192.114556633039
256,100,1,3,TRUE,0.8,508.544108990454,514.23319292605
257,320,1,3,TRUE,0.8,504.102813979409,510.062093639858
258,500,1,3,TRUE,0.8,501.729262404438,506.8753922167
259,100,4,3,TRUE,0.8,251.881967969274,250.538256671682
260,320,4,3,TRUE,0.8,254.933142769637,257.646510757446
261,500,4,3,TRUE,0.8,251.283294403458,253.573602253938
262,100,8,3,TRUE,0.8,202.25299318964,203.890535242615
263,320,8,3,TRUE,0.8,202.890516219064,206.086782801269
264,500,8,3,TRUE,0.8,201.791976504647,205.862419369973
265,100,10,3,TRUE,0.8,197.009234893043,197.989733239647
266,320,10,3,TRUE,0.8,193.16911693291,197.842136375987
267,500,10,3,TRUE,0.8,192.685059073412,197.027896015198
268,100,12,3,TRUE,0.8,190.871335511123,194.730340402619
269,320,12,3,TRUE,0.8,188.446457977505,193.593256038872
270,500,12,3,TRUE,0.8,188.251736180509,193.478792966563
271,100,1,5,TRUE,0.8,502.41913894897,506.780079707656
272,320,1,5,TRUE,0.8,505.566354049697,510.306496658471
273,500,1,5,TRUE,0.8,502.114042928446,507.689376562376
274,100,4,5,TRUE,0.8,257.868926940324,258.193418861948
275,320,4,5,TRUE,0.8,253.750682842492,256.86738688685
276,500,4,5,TRUE,0.8,252.858884126583,255.753551854015
277,100,8,5,TRUE,0.8,208.343017929494,209.006527465661
278,320,8,5,TRUE,0.8,204.456156828846,207.36396858281
279,500,8,5,TRUE,0.8,203.340347390355,206.693147429463
280,100,10,5,TRUE,0.8,200.853967257157,200.86030007052
281,320,10,5,TRUE,0.8,195.585687391719,200.850695202415
282,500,10,5,TRUE,0.8,194.370524003078,199.076478656887
283,100,12,5,TRUE,0.8,192.840021611272,194.130974454462
284,320,12,5,TRUE,0.8,191.117003455812,195.348393372306
285,500,12,5,TRUE,0.8,188.16935216918,194.455107906733
286,100,1,10,TRUE,0.8,511.035027240971,515.228212842383
287,320,1,10,TRUE,0.8,500.482270708325,505.731941391877
288,500,1,10,TRUE,0.8,501.919037562317,507.479551251832
289,100,4,10,TRUE,0.8,256.463081319539,257.942897609556
290,320,4,10,TRUE,0.8,258.738293584683,260.628912620751
291,500,4,10,TRUE,0.8,256.875842073004,260.792036030079
292,100,8,10,TRUE,0.8,211.125125914853,211.163025576135
293,320,8,10,TRUE,0.8,210.80728171568,213.133939238816
294,500,8,10,TRUE,0.8,209.327796924232,213.061566238379
295,100,10,10,TRUE,0.8,204.914095982162,206.764135135426
296,320,10,10,TRUE,0.8,201.824028086145,204.760630955435
297,500,10,10,TRUE,0.8,200.000116997906,204.023495334189
298,100,12,10,TRUE,0.8,197.350083948433,202.247841265772
299,320,12,10,TRUE,0.8,195.315201654821,199.582032235077
300,500,12,10,TRUE,0.8,193.778390308372,198.914611628439
301,100,1,1,FALSE,0.8,500.497320384057,503.369379544311
